Timestamps,Temperature
0.5, 22.81
1.0, 22.81
1.5, 22.81
2.0, 22.81
2.5, 22.81
3.0, 22.81
3.5, 22.87
4.0, 22.81
4.5, 22.87
5.0, 22.87
5.5, 22.87
6.0, 22.87
6.5, 22.87
7.0, 22.87
7.5, 22.87
8.0, 22.87
8.5, 22.87
9.0, 22.87
9.5, 22.87
10.0, 23.06
10.5, 23.31
11.0, 24.75
11.5, 25.25
12.0, 25.25
12.5, 25.06
13.0, 24.94
13.5, 24.87
14.0, 25.00
14.5, 24.94
15.0, 24.81
15.5, 24.69
16.0, 24.56
16.5, 24.37
17.0, 24.25
17.5, 24.12
18.0, 24.00
18.5, 23.87
19.0, 23.81
19.5, 23.69
20.0, 23.62
20.5, 23.50
21.0, 23.44
21.5, 23.37
22.0, 23.31
22.5, 23.25
23.0, 23.19
23.5, 23.12
24.0, 23.12
24.5, 23.06
25.0, 23.06
25.5, 23.00
26.0, 22.94
26.5, 22.94
27.0, 22.87
27.5, 22.81
28.0, 22.81
28.5, 22.75
29.0, 22.69
29.5, 22.69
30.0, 22.62
30.5, 22.62
31.0, 22.56
31.5, 22.81
32.0, 23.44
32.5, 24.00
33.0, 24.12
33.5, 24.12
34.0, 24.06
34.5, 24.00
35.0, 24.00
35.5, 23.94
36.0, 23.87
36.5, 23.87
37.0, 23.81
37.5, 23.81
38.0, 23.75
38.5, 23.69
39.0, 23.69
39.5, 23.62
40.0, 23.62
40.5, 23.56
41.0, 23.44
41.5, 23.31
42.0, 23.25
42.5, 23.19
43.0, 23.06
43.5, 23.00
44.0, 23.00
44.5, 22.94
45.0, 22.87
45.5, 22.87
46.0, 22.81
46.5, 22.81
47.0, 22.75
47.5, 22.75
48.0, 22.69
48.5, 22.69
49.0, 22.69
49.5, 22.62
50.0, 22.62
50.5, 22.62
51.0, 22.56
51.5, 22.56
52.0, 22.56
52.5, 22.56
53.0, 22.56
53.5, 22.50
54.0, 22.50
54.5, 22.50
55.0, 22.50
55.5, 22.50
56.0, 22.50
56.5, 22.44
57.0, 22.44
57.5, 22.44
58.0, 22.44
58.5, 22.44
59.0, 22.44
59.5, 22.44
60.0, 22.44
60.5, 22.44
61.0, 22.37
61.5, 22.37
62.0, 22.37
62.5, 22.37
63.0, 22.37
63.5, 22.37
64.0, 22.37
64.5, 22.44
65.0, 22.37
65.5, 22.37
66.0, 22.37
66.5, 22.37
67.0, 22.44
67.5, 22.56
68.0, 24.37
68.5, 26.12
69.0, 27.37
69.5, 28.44
70.0, 29.25
70.5, 29.75
71.0, 30.19
71.5, 30.69
72.0, 31.19
72.5, 31.56
73.0, 31.87
73.5, 32.13
74.0, 32.31
74.5, 32.44
75.0, 32.13
75.5, 31.81
76.0, 31.56
76.5, 31.37
77.0, 31.25
77.5, 31.06
78.0, 30.94
78.5, 30.81
79.0, 30.69
79.5, 30.56
80.0, 30.50
80.5, 30.37
81.0, 30.31
81.5, 30.19
82.0, 30.12
82.5, 30.00
83.0, 29.94
83.5, 29.87
84.0, 29.75
84.5, 29.69
85.0, 29.62
85.5, 29.56
86.0, 29.50
86.5, 29.37
87.0, 29.31
87.5, 29.25
88.0, 29.12
88.5, 29.00
89.0, 28.87
89.5, 28.75
90.0, 28.69
90.5, 28.56
91.0, 28.50
91.5, 28.37
92.0, 28.31
92.5, 28.25
93.0, 28.19
93.5, 28.12
94.0, 28.06
94.5, 28.00
95.0, 27.87
95.5, 27.81
96.0, 27.69
96.5, 27.69
97.0, 27.62
97.5, 27.56
98.0, 27.56
98.5, 27.50
99.0, 27.44
99.5, 27.44
100.0, 27.37
100.5, 27.37
101.0, 27.31
101.5, 27.25
102.0, 27.19
102.5, 27.19
103.0, 27.12
103.5, 27.12
104.0, 27.06
104.5, 27.06
105.0, 27.06
105.5, 27.06
106.0, 27.06
106.5, 27.06
107.0, 27.00
107.5, 26.87
108.0, 26.69
108.5, 26.56
109.0, 26.44
109.5, 26.37
110.0, 26.37
110.5, 26.37
111.0, 26.37
111.5, 26.37
112.0, 26.31
112.5, 26.31
113.0, 26.25
113.5, 26.25
114.0, 26.19
114.5, 26.12
115.0, 26.00
115.5, 25.87
116.0, 25.81
116.5, 25.69
117.0, 25.62
117.5, 25.50
118.0, 25.31
118.5, 25.19
119.0, 25.12
119.5, 25.00
120.0, 25.00
120.5, 24.94
121.0, 24.87
121.5, 24.81
122.0, 24.81
122.5, 24.75
123.0, 24.69
123.5, 24.62
124.0, 24.56
124.5, 24.44
125.0, 24.37
125.5, 24.37
126.0, 24.25
126.5, 24.19
127.0, 24.12
127.5, 24.06
128.0, 24.06
128.5, 24.00
129.0, 24.00
129.5, 23.94
130.0, 23.94
130.5, 23.87
131.0, 23.87
131.5, 23.81
132.0, 23.81
132.5, 23.75
133.0, 23.69
133.5, 23.62
134.0, 23.56
134.5, 23.50
135.0, 23.50
135.5, 23.44
136.0, 23.44
136.5, 23.44
137.0, 23.44
137.5, 23.37
138.0, 23.37
138.5, 23.37
139.0, 23.37
139.5, 23.37
140.0, 23.31
140.5, 23.31
141.0, 23.31
141.5, 23.31
142.0, 23.31
142.5, 23.31
143.0, 23.25
143.5, 23.19
144.0, 23.00
144.5, 22.75
145.0, 22.56
145.5, 22.37
146.0, 22.37
146.5, 22.25
147.0, 22.12
147.5, 22.19
148.0, 22.25
148.5, 22.25
149.0, 22.25
149.5, 22.25
150.0, 22.31
150.5, 22.31
151.0, 22.31
151.5, 22.31
152.0, 22.37
152.5, 22.37
153.0, 22.37
153.5, 22.44
154.0, 22.44
154.5, 22.50
155.0, 22.50
155.5, 22.50
156.0, 22.56
156.5, 22.56
157.0, 22.62
157.5, 22.62
158.0, 22.62
158.5, 22.69
159.0, 22.69
159.5, 22.69
160.0, 22.75
160.5, 22.75
161.0, 22.75
161.5, 22.75
162.0, 22.81
162.5, 22.81
163.0, 22.81
163.5, 22.87
164.0, 22.87
164.5, 22.94
165.0, 22.94
165.5, 23.00
166.0, 23.06
166.5, 23.06
167.0, 23.12
167.5, 23.12
168.0, 23.19
168.5, 23.19
169.0, 23.19
169.5, 23.25
170.0, 23.50
170.5, 24.25
171.0, 24.44
171.5, 24.50
172.0, 24.50
172.5, 25.37
173.0, 26.62
173.5, 27.62
174.0, 28.31
174.5, 28.81
175.0, 29.25
175.5, 29.62
176.0, 29.94
176.5, 30.25
177.0, 30.37
177.5, 30.19
178.0, 30.00
178.5, 29.81
179.0, 29.56
179.5, 29.31
180.0, 29.12
180.5, 28.94
181.0, 28.81
181.5, 28.62
182.0, 28.56
182.5, 28.44
183.0, 28.37
183.5, 28.31
184.0, 28.25
184.5, 28.19
185.0, 28.12
185.5, 28.06
186.0, 28.00
186.5, 27.94
187.0, 27.94
187.5, 27.87
188.0, 27.81
188.5, 27.69
189.0, 27.69
189.5, 27.62
190.0, 27.62
190.5, 27.62
191.0, 27.62
191.5, 27.62
192.0, 27.62
192.5, 27.25
193.0, 26.75
193.5, 26.56
194.0, 26.50
194.5, 26.50
195.0, 26.44
195.5, 26.37
196.0, 26.06
196.5, 25.75
197.0, 25.44
197.5, 25.31
198.0, 25.19
198.5, 25.06
199.0, 24.94
199.5, 24.75
200.0, 24.62
200.5, 24.56
201.0, 24.50
201.5, 24.37
202.0, 24.31
202.5, 24.25
203.0, 24.19
203.5, 24.12
204.0, 24.00
204.5, 24.00
205.0, 23.94
205.5, 23.94
206.0, 23.94
206.5, 23.87
207.0, 23.81
207.5, 23.81
208.0, 23.75
208.5, 23.69
209.0, 23.62
209.5, 23.56
210.0, 23.56
210.5, 23.50
211.0, 23.37
211.5, 23.31
212.0, 23.31
212.5, 23.25
213.0, 23.25
213.5, 23.31
214.0, 23.25
214.5, 23.25
215.0, 23.19
215.5, 23.19
216.0, 23.19
216.5, 23.12
217.0, 23.12
217.5, 23.12
218.0, 23.12
218.5, 23.12
219.0, 23.12
219.5, 23.12
220.0, 23.06
220.5, 23.06
221.0, 23.06
221.5, 23.06
222.0, 23.06
222.5, 23.12
223.0, 23.12
223.5, 23.06
224.0, 23.12
224.5, 23.19
225.0, 23.25
225.5, 23.31
226.0, 23.31
226.5, 23.25
227.0, 23.25
227.5, 23.19
228.0, 23.19
228.5, 23.19
229.0, 23.19
229.5, 23.19
230.0, 23.19
230.5, 23.19
231.0, 23.19
231.5, 23.19
232.0, 23.19
232.5, 23.25
233.0, 23.25
233.5, 23.25
234.0, 23.25
234.5, 23.25
235.0, 23.31
235.5, 23.31
236.0, 23.31
236.5, 23.31
237.0, 23.37
237.5, 23.37
238.0, 23.37
238.5, 23.37
239.0, 23.44
239.5, 23.44
240.0, 23.44
240.5, 23.50
241.0, 23.50
241.5, 23.50
242.0, 23.50
242.5, 23.50
243.0, 23.56
243.5, 23.56
244.0, 23.56
244.5, 23.56
245.0, 23.56
245.5, 23.62
246.0, 23.62
246.5, 23.62
247.0, 23.62
247.5, 23.56
248.0, 23.50
248.5, 23.50
249.0, 23.44
249.5, 23.37
250.0, 23.37
250.5, 23.37
251.0, 23.37
251.5, 23.37
252.0, 23.37
252.5, 23.25
253.0, 23.12
253.5, 23.00
254.0, 22.87
254.5, 22.75
255.0, 22.69
255.5, 22.62
256.0, 22.69
256.5, 22.81
257.0, 22.87
257.5, 22.87
258.0, 22.81
258.5, 22.75
259.0, 22.69
259.5, 22.69
260.0, 22.62
260.5, 22.62
261.0, 22.62
261.5, 22.56
262.0, 22.56
262.5, 22.56
263.0, 22.50
263.5, 22.50
264.0, 22.50
264.5, 22.50
265.0, 22.50
265.5, 22.44
266.0, 22.44
266.5, 22.44
267.0, 22.44
267.5, 22.44
268.0, 22.37
268.5, 22.37
269.0, 22.37
269.5, 22.37
270.0, 22.37
270.5, 22.37
271.0, 22.31
271.5, 22.31
272.0, 22.31
272.5, 22.31
273.0, 22.31
273.5, 22.50
274.0, 24.37
274.5, 25.81
275.0, 26.81
275.5, 27.50
276.0, 28.00
276.5, 28.37
277.0, 28.69
277.5, 28.94
278.0, 29.12
278.5, 29.37
279.0, 29.50
279.5, 29.69
280.0, 29.81
280.5, 29.94
281.0, 30.00
281.5, 29.87
282.0, 29.75
282.5, 29.69
283.0, 29.56
283.5, 29.44
284.0, 29.37
284.5, 29.31
285.0, 29.25
285.5, 29.25
286.0, 29.19
286.5, 29.06
287.0, 29.00
287.5, 28.94
288.0, 28.81
288.5, 28.75
289.0, 28.69
289.5, 28.62
290.0, 28.56
290.5, 28.25
291.0, 27.69
291.5, 27.44
292.0, 27.31
292.5, 27.06
293.0, 26.56
293.5, 26.06
294.0, 25.69
294.5, 25.31
295.0, 25.06
295.5, 24.87
296.0, 24.62
296.5, 24.50
297.0, 24.44
297.5, 24.37
298.0, 24.31
298.5, 24.31
299.0, 24.31
299.5, 24.31
300.0, 24.25
